substance_id,smiles,label
P0000001,CN1/C(=C\C=C\C=C\C=C\C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0
P0000002,CCN1/C(=C\C=C\C=C\C=C\c2sc3ccccc3[n+]2CC)Sc2ccccc21,0
P0000003,O=C(O)c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,0
P0000004,O=C1NC(=S)S/C1=C/C=C/C=C/c1ccc([N+](=O)[O-])cc1,0
P0000005,CN(/C=C/C=C/C=C/C1=[N+](C)c2ccccc2C1(C)C)c1ccccc1,0
P0000006,Cc1ccc(C(=O)c2c(/C=C/c3ccc(N(C)C)cc3)oc3cc(C#N)c(C#N)cc23)cc1,0
P0000007,N#CC(C#N)=c1ccc(=C(C#N)c2ccc(N3CCCC3)cc2)cc1,0
P0000008,CCN1/C(=C\C=C\C=C\c2sc3ccccc3[n+]2CC)Sc2ccccc21,0
P0000009,N#CC(C#N)=C/C=C/C=C/C=C/c1ccccc1,0
P0000010,CCN1C(=O)/C(=C\C=C\c2ccc(N(C)C)cc2)SC1=S,0
P0000011,CN(C)c1ccc(/C=C/C=C2C(=O)c3ccccc3C2=O)cc1,0
P0000012,O=C1/C(=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C=C(c2ccccc2)N1c1ccc(Nc2ccccc2)cc1,0
P0000013,CN(C)c1ccc(/C=C/C=C2/SC(=S)N(Cc3ccccc3)C2=O)cc1,0
P0000014,CC(=O)N(/C=C\C=C\C=C1/Sc2ccccc2C1=O)c1ccccc1,0
P0000015,CN(C)c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,0
P0000016,CCN1C(=O)/C(=C\C=C\C=C\Nc2ccccc2)SC1=S,0
P0000017,CN1C(=O)/C(=C\C=C\c2ccc(N(C)C)cc2)SC1=S,0
P0000018,CCN(CC)c1ccc(N2C(=O)/C(=C\c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)SC2=S)cc1,0
P0000019,COc1cccc(N2C(=O)/C(=C/c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)c1,0
P0000020,CCN(CC)c1ccc(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)cc1,0
P0000021,CC(=O)N(/C=C/C=C/C=C1/OC(=S)N(C)C1=O)c1ccccc1,0
P0000022,CN(C)c1ccc(/C=C/C=C2/SC(=S)N(C3CCCCC3)C2=O)cc1,0
P0000023,CCCCN1C(=O)/C(=C\C=C\C=C\N(C(C)=O)c2ccccc2)SC1=S,0
P0000024,CN(C)c1ccc(/N=N/c2cccc([N+](=O)[O-])c2)cc1,0
P0000025,CN(C)c1ccc(/C=C/C=C/c2cccc[n+]2C)cc1,0
P0000026,COC(=O)c1ccc2c(c1)C(C)(C)C(/C=C/c1c(C)[nH]c3ccccc13)=[N+]2C,0
P0000027,CCN1CCS/C1=C\C=C\C1=[N+](CC)CCS1,0
P0000028,CN(C)c1ccc(/C=C2\CCC/C(=C\c3cccs3)C2=O)cc1,0
P0000029,O=C1/C(=C/c2ccc(-c3ccc(Br)cc3)o2)C=C(c2ccccc2)N1c1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1,0
P0000030,O=C1/C(=C/c2ccc(-c3cc(Cl)ccc3Cl)o2)C=C(c2ccccc2)N1c1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1,0
P0000031,O=C1/C(=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C=C(c2ccccc2)N1c1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1,0
P0000032,O=C1/C(=C/c2ccc(-c3ccc(Cl)c(Cl)c3)o2)C=C(c2ccccc2)N1c1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1,0
P0000033,COc1ccc(N2C(=O)/C(=C/c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)cc1,0
P0000034,C=CCN1C(=O)/C(=C\C=C\c2ccc(N(C)C)cc2)SC1=S,0
P0000035,O=C1/C(=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C=C(c2ccccc2)N1c1ccc(-c2ccccc2)cc1,0
P0000036,CN(C)c1ccc(/C=C/C2=CC(=C(C#N)C#N)CC(C)(C)C2)cc1,0
P0000037,COC(=O)c1ccccc1/N=N/c1ccc(N(C)C)cc1,0
P0000038,CCN(CC)c1ccc(C(=C(C#N)C#N)C(F)(F)F)cc1,0
P0000039,CN(C)c1ccc(N2C(=O)/C(=C/c3ccc(-c4cc(Cl)ccc4Cl)o3)C=C2c2ccccc2)cc1,0
P0000040,CCN(CC)c1ccc(N2C(=O)/C(=C/c3ccc([N+](=O)[O-])cc3)C=C2c2ccccc2)cc1,0
P0000041,Cc1ccc(Nc2ccc(Nc3ccc(C)cc3)c3c2C(=O)c2ccccc2C3=O)cc1,0
P0000042,CN(C)c1ccc(/C=C/C=C2/SC(=S)N(c3cccc([N+](=O)[O-])c3)C2=O)cc1,0
P0000043,CC(C)(C)c1ccc(N2C(=O)/C(=C/c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)cc1,0
P0000044,CCOC(=O)CCNc1ccc(Nc2ccc(C)cc2)c2c1C(=O)c1ccccc1C2=O,0
P0000045,CN(C)c1ccc(/C=C/C=C2/SC(=S)N(c3ccc([N+](=O)[O-])cc3)C2=O)cc1,0
P0000046,Cc1ccc2ccc(/C=C/c3ccc(N(C)C)cc3)[n+](CCCS(=O)(=O)[O-])c2c1,0
P0000047,CN(CCCS(=O)(=O)[O-])c1ccc(/C=C/c2ccc3ccccc3[n+]2C)cc1,0
P0000048,N#Cc1cc2nc3c(nc2cc1C#N)-c1cccc2cccc-3c12,0
P0000049,CN(C)c1ccc(/C=C/C=C2/SC(=S)NC2=O)cc1,0
P0000050,CCN1C=CC(=C/C=C(\C=C\c2cc[n+](CC)c3ccccc23)c2cc[n+](CC)c3ccccc23)C=C1,0
